,Player,Nation,Pos,Age,TotlMin,Games,sc_G,sc_A,sc_GA,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR
0,Rodri,es ESP,MF,27.0,34,34,8.0,9.0,17.0,8.0,1.0,4.1,3.9,8.0,76.0,376.0,55.0
1,Phil Foden,eng ENG,"FW,MF",23.0,35,33,19.0,8.0,27.0,2.0,0.0,10.3,8.4,18.7,93.0,168.0,269.0
2,Ederson,br BRA,GK,29.0,33,33,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0
3,Julián Álvarez,ar ARG,"MF,FW",23.0,36,31,11.0,8.0,19.0,2.0,0.0,13.0,6.4,17.9,64.0,103.0,180.0
4,Kyle Walker,eng ENG,DF,33.0,32,30,0.0,4.0,4.0,2.0,0.0,0.4,2.6,3.0,74.0,157.0,172.0
5,Bernardo Silva,pt POR,"MF,FW",28.0,33,29,6.0,9.0,15.0,8.0,0.0,3.7,7.6,11.3,140.0,177.0,260.0
6,Erling Haaland,no NOR,FW,23.0,31,29,27.0,5.0,32.0,1.0,0.0,29.2,4.3,27.2,35.0,26.0,126.0
7,Rúben Dias,pt POR,DF,26.0,30,28,0.0,0.0,0.0,0.0,0.0,1.4,0.3,1.7,34.0,173.0,16.0
8,Manuel Akanji,ch SUI,"DF,MF",28.0,30,28,2.0,0.0,2.0,4.0,1.0,1.9,0.5,2.4,46.0,148.0,36.0
9,Joško Gvardiol,hr CRO,DF,21.0,28,26,4.0,1.0,5.0,3.0,0.0,3.1,1.4,4.5,63.0,136.0,115.0
10,Nathan Aké,nl NED,DF,28.0,29,24,2.0,2.0,4.0,0.0,0.0,2.5,1.2,3.7,24.0,116.0,18.0
11,Jeremy Doku,be BEL,"FW,MF",21.0,29,18,3.0,8.0,11.0,3.0,0.0,2.5,4.6,7.1,218.0,57.0,295.0
12,Mateo Kovačić,hr CRO,MF,29.0,30,16,1.0,0.0,1.0,4.0,0.0,1.3,1.6,2.9,37.0,100.0,38.0
